Start Time: 9/10/2024 3:29:54 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 32938, 17232, 0.001007989, -0.0001850128, 0.1899762, -0.002329, -0.0004369998, 0.000271, 15:31:08.622
0x0, 32939, 17233, -0.007443011, 0.007402062, 0.1925974, -0.001395, -0.000306, -5.800277E-05, 15:31:08.630
0x0, 32940, 17234, 0.002490997, 0.00170505, 0.197906, -0.001085, -0.0004089996, -0.0001560003, 15:31:08.638
0x0, 32941, 17235, -0.002636001, 0.01483798, 0.1887121, -0.001114, -0.0001179995, 0.0001420006, 15:31:08.646
0x0, 32942, 17236, -0.014384, 0.006461024, 0.2022572, -0.001313, 0.0003320007, 0.0003629997, 15:31:08.654
0x0, 32943, 17237, 0.001114994, -0.003911018, 0.2018623, -0.00148, 0.0001500007, 0.0003959984, 15:31:08.662
0x0, 32944, 17238, -0.004751012, 0.01044297, 0.1950173, -0.001673, -0.0002989992, 0.0004060008, 15:31:08.670
0x0, 32945, 17239, -0.012814, -0.001335025, 0.1935263, -0.001709, -3.199931E-05, -0.000124, 15:31:08.678
0x0, 32946, 17240, -0.01048701, 0.006916046, 0.186316, -0.001343, -0.0001929998, 0.0001459979, 15:31:08.686
0x0, 32947, 17241, -0.015882, 0.002691031, 0.1965542, -0.0008030003, 0.0003400007, 0.0002439991, 15:31:08.694
0x0, 32948, 17242, -0.008442, 0.03915596, 0.1974702, -0.00086, -0.00012, -0.0002159998, 15:31:08.702
0x0, 32949, 17243, 0.001829997, 0.01900601, 0.2090073, -0.001614, -0.0002939999, -0.0006779991, 15:31:08.710
0x0, 32950, 17244, -0.008453012, 0.01646602, 0.1974764, -0.001625, -0.0003039995, -8.100271E-05, 15:31:08.718
0x0, 32951, 17245, -0.007577002, 0.02198505, 0.211051, -0.002033, -0.0001429999, 0.0006080009, 15:31:08.726
0x0, 32952, 17246, -0.002309009, 0.001005054, 0.1828451, -0.001398, -9.59998E-05, 0.0001149997, 15:31:08.734
0x0, 32953, 17247, -0.004002005, -0.003638983, 0.2001443, -0.00126, -0.0003239997, 0.0003729984, 15:31:08.742
0x0, 32954, 17248, 0.003368989, 0.01262403, 0.1950793, -0.000922, -0.0003399998, 0.0002829991, 15:31:08.750
0x0, 32955, 17249, 0.002417997, 0.009763002, 0.2179604, -0.001773, -0.0003399998, -0.0003820024, 15:31:08.758
0x0, 32956, 17250, -0.003626004, 0.008355975, 0.194427, -0.001609, -0.0002109995, 1.399964E-05, 15:31:08.766
0x0, 32957, 17251, -0.01917501, 0.0009599924, 0.1880102, -0.001768, -0.0002139993, 0.0004680008, 15:31:08.774
0x0, 32958, 17252, 0.002952993, -0.00118196, 0.1865621, -0.001614, -0.0004249997, -0.0001790002, 15:31:08.782
0x0, 32959, 17253, -0.003739998, 0.00327003, 0.2061772, -0.001674, -8.399971E-05, 9.099767E-05, 15:31:08.790
0x0, 32960, 17254, -0.02622801, 0.01517701, 0.194593, -0.0008640001, 2.600066E-05, 0.0004559979, 15:31:08.798
0x0, 32961, 17255, -0.009893999, 0.01479495, 0.2080483, -0.001267, 1.200009E-05, 0.0001909994, 15:31:08.806
0x0, 32962, 17256, -0.01568201, 0.02685499, 0.197794, -0.001396, -0.0001989994, -3.900006E-05, 15:31:08.814
0x0, 32963, 17257, -0.004136011, 0.008777976, 0.1966181, -0.002271, -0.0002359999, -0.0004389994, 15:31:08.822
0x0, 32964, 17258, -0.001394004, 0.02062702, 0.1997242, -0.001544, -0.0003049998, 0.0004899986, 15:31:08.830
